Event Name,Event Type,Date Range,System Assigned Label
Ciara,Storm (Storm/Wind),2020-02-08 -> 2020-02-09,STORM_EVENT
Xaver,Storm (Surge/Wave),2013-12-05 -> 2013-12-06,STORM_EVENT
Dennis,Storm (Flood/Rain),2020-02-15 -> 2020-02-16,STORM_EVENT
Tini,Storm (Storm/Wind),2014-02-12 -> 2014-02-12,STORM_EVENT
Dirk,Storm (Storm/Wind),2013-12-23 -> 2013-12-24,STORM_EVENT
Eunice,Storm (Storm/Wind),2022-02-18 -> 2022-02-18,STORM_EVENT
Eunice,Storm (Storm/Wind),2022-02-18 -> 2022-02-19,STORM_EVENT
Andrea,Storm (Storm/Wind),2012-01-05 -> 2012-01-05,STORM_EVENT
Bernd,Storm (Storm/Wind),2013-12-18 -> 2013-12-19,STORM_EVENT
Erik,Storm (Storm/Wind),2019-02-08 -> 2019-02-09,STORM_EVENT
Freya,Storm (Storm/Wind),2019-03-03 -> 2019-03-04,STORM_EVENT
Doris,Storm (Storm/Wind),2017-02-23 -> 2017-02-23,STORM_EVENT
Niklas,Storm (Storm/Wind),2015-03-31 -> 2015-04-01,STORM_EVENT
Mike,Storm (Storm/Wind),2015-03-29 -> 2015-03-31,STORM_EVENT
Aiden,Storm (Storm/Wind),2020-10-31 -> 2020-11-01,STORM_EVENT
Gareth,Storm (Storm/Wind),2019-03-12 -> 2019-03-13,STORM_EVENT
Felix,Storm (Storm/Wind),2015-01-09 -> 2015-01-10,STORM_EVENT
Ulli,Storm (Storm/Wind),2012-01-03 -> 2012-01-03,STORM_EVENT
Diana,Storm (Storm/Wind),2018-11-28 -> 2018-11-29,STORM_EVENT
Ali,Storm (Storm/Wind),2018-09-19 -> 2018-09-19,STORM_EVENT
Erich,Storm (Storm/Wind),2013-12-27 -> 2013-12-27,STORM_EVENT
Eleanor,Storm (Storm/Wind),2018-01-02 -> 2018-01-03,STORM_EVENT
Jonas,Storm (Storm/Wind),2016-01-26 -> 2016-01-27,STORM_EVENT
Brendan,Storm (Storm/Wind),2020-01-13 -> 2020-01-14,STORM_EVENT
Nils,Storm (Storm/Wind),2015-11-20 -> 2015-11-21,STORM_EVENT
Jorge,Storm (Flood/Rain),2020-02-28 -> 2020-03-01,STORM_EVENT
Georgina,Storm (Storm/Wind),2018-01-24 -> 2018-01-24,STORM_EVENT
Ulla,Storm (Storm/Wind),2014-02-14 -> 2014-02-15,STORM_EVENT
Malik,Storm (Storm/Wind),2022-01-29 -> 2022-01-30,STORM_EVENT
Frank,Storm (Flood/Rain),2015-12-29 -> 2015-12-30,STORM_EVENT
Bronagh,Storm (Storm/Wind),2018-09-20 -> 2018-09-21,STORM_EVENT
Franklin,Storm (Surge/Wave),2022-02-20 -> 2022-02-21,STORM_EVENT
Dudley,Storm (Storm/Wind),2022-02-16 -> 2022-02-17,STORM_EVENT
Eckhard,Storm (Storm/Wind),2015-11-28 -> 2015-11-29,STORM_EVENT
Clodagh,Storm (Storm/Wind),2015-11-29 -> 2015-11-29,STORM_EVENT
Nadja,Storm (Surge/Wave),2014-01-31 -> 2014-02-01,STORM_EVENT
Brigid,Storm (Storm/Wind),2014-02-01 -> 2014-02-02,STORM_EVENT
Petra,Storm (Storm/Wind),2014-02-04 -> 2014-02-05,STORM_EVENT
Bawbag,Storm (Storm/Wind),2011-12-08 -> 2011-12-08,STORM_EVENT
Gunter,Storm (Storm/Wind),2011-12-12 -> 2011-12-13,STORM_EVENT
Ruth,Storm (Storm/Wind),2014-02-08 -> 2014-02-09,STORM_EVENT
Aileen,Storm (Storm/Wind),2017-09-12 -> 2017-09-13,STORM_EVENT
Yvette,Storm (Storm/Wind),2014-02-13 -> 2014-02-14,STORM_EVENT
Arwen,Storm (Storm/Wind),2021-11-26 -> 2021-11-27,STORM_EVENT
Barbara,Storm (Storm/Wind),2016-12-23 -> 2016-12-24,STORM_EVENT
Francis,Storm (Storm/Wind),2020-08-25 -> 2020-08-26,STORM_EVENT
Gunter 2015,Storm (Storm/Wind),2015-01-14 -> 2015-01-15,STORM_EVENT
Christoph,Storm (Flood/Rain),2021-01-19 -> 2021-01-21,STORM_EVENT
Bella,Storm (Storm/Wind),2020-12-26 -> 2020-12-27,STORM_EVENT
Gertrude,Storm (Storm/Wind),2016-01-29 -> 2016-01-29,STORM_EVENT
Katia,Storm (Storm/Wind),2011-09-12 -> 2011-09-12,STORM_EVENT
Desmond,Storm (Flood/Rain),2015-12-05 -> 2015-12-06,STORM_EVENT
Atiyah,Storm (Storm/Wind),2019-12-08 -> 2019-12-09,STORM_EVENT
Caroline,Storm (Storm/Wind),2017-12-07 -> 2017-12-08,POTENTIAL_HAZARD
Callum,Storm (Storm/Wind),2018-10-12 -> 2018-10-13,POTENTIAL_HAZARD
Deirdre,Storm (Storm/Wind),2018-12-15 -> 2018-12-16,POTENTIAL_HAZARD
David,Storm (Storm/Wind),2018-01-18 -> 2018-01-18,POTENTIAL_HAZARD
Herwart,Storm (Storm/Wind),2017-10-28 -> 2017-10-29,POTENTIAL_HAZARD
St Jude,Storm (Storm/Wind),2013-10-27 -> 2013-10-28,POTENTIAL_HAZARD
Hector,Storm (Storm/Wind),2018-06-14 -> 2018-06-14,POTENTIAL_HAZARD
Barney,Storm (Storm/Wind),2015-11-17 -> 2015-11-18,POTENTIAL_HAZARD
Beast from the East,Snow Storm (Snow/Freeze),2018-02-27 -> 2018-03-04,POTENTIAL_HAZARD
Milne,Storm (Flood/Rain),2009-11-18 -> 2009-11-19,POTENTIAL_HAZARD
Henry,Storm (Storm/Wind),2016-02-01 -> 2016-02-02,POTENTIAL_HAZARD
Cumbria 2009,Flood (Flood/Rain),2009-11-19 -> 2009-11-20,POTENTIAL_HAZARD
Gonzalo,Storm (Storm/Wind),2014-10-21 -> 2014-10-21,POTENTIAL_HAZARD
Brian,Storm (Storm/Wind),2017-10-21 -> 2017-10-21,POTENTIAL_HAZARD
Ophelia,Storm (Storm/Wind),2017-10-16 -> 2017-10-17,POTENTIAL_HAZARD
Corrie,Storm (Storm/Wind),2022-01-30 -> 2022-01-31,POTENTIAL_HAZARD
Hervé,Storm (Storm/Wind),2020-02-03 -> 2020-02-04,POTENTIAL_HAZARD
Eugen,Storm (Storm/Wind),2021-05-04 -> 2021-05-05,POTENTIAL_HAZARD
Bertha,Storm (Flood/Rain),2014-08-10 -> 2014-08-11,POTENTIAL_HAZARD
Abigail,Storm (Storm/Wind),2015-11-12 -> 2015-11-13,POTENTIAL_HAZARD
Ewan,Storm (Storm/Wind),2017-02-26 -> 2017-02-26,POTENTIAL_HAZARD
Barra,Storm (Storm/Wind),2021-12-07 -> 2021-12-08,POTENTIAL_HAZARD
Anne,Storm (Flood/Rain),2014-01-03 -> 2014-01-04,POTENTIAL_HAZARD
Eva,Storm (Flood/Rain),2015-12-24 -> 2015-12-24,POTENTIAL_HAZARD
Nicolas,Storm (Flood/Rain),2012-12-22 -> 2012-12-23,POTENTIAL_HAZARD
Robert,Storm (Storm/Wind),2011-12-27 -> 2011-12-28,POTENTIAL_HAZARD
Imogen,Storm (Storm/Wind),2016-02-08 -> 2016-02-08,POTENTIAL_HAZARD
Darcy,Storm (Snow/Freeze),2021-02-07 -> 2021-02-13,NORMAL
Joris,Storm (Storm/Wind),2009-01-22 -> 2009-01-23,POTENTIAL_HAZARD
Patrick,Storm (Storm/Wind),2011-12-25 -> 2011-12-26,POTENTIAL_HAZARD
Jennifer,Storm (Snow/Freeze),2010-01-28 -> 2010-01-30,POTENTIAL_HAZARD
Conor,Storm (Storm/Wind),2016-12-25 -> 2016-12-26,POTENTIAL_HAZARD
Alfred,Storm (Storm/Wind),2013-02-02 -> 2013-02-03,POTENTIAL_HAZARD
Big Freeze 2010,Weather Event (Snow/Freeze),2010-12-01 -> 2010-12-25,POTENTIAL_HAZARD
Aurore,Storm (Storm/Wind),2021-10-20 -> 2021-10-21,POTENTIAL_HAZARD
Petra,Storm (Snow/Freeze),2010-12-16 -> 2010-12-17,POTENTIAL_HAZARD
Klaus,Storm (Storm/Wind),2009-01-23 -> 2009-01-24,POTENTIAL_HAZARD
